experience_level,job_title,salary_in_usd,company_location,company_size
SE,Machine Learning Engineer,189000,US,M
SE,Machine Learning Engineer,145400,US,M
SE,Data Engineer,154000,US,M
SE,Data Engineer,103000,US,M
EX,Head of Data,223000,US,M
EX,Head of Data,205000,US,M
SE,Data Analyst,209000,US,M
SE,Data Analyst,120000,US,M
SE,Data Scientist,252000,US,M
SE,Data Scientist,168000,US,M
MI,Applied Scientist,222200,US,L
MI,Applied Scientist,136000,US,L
MI,Data Scientist,150000,US,M
MI,Data Scientist,127500,US,M
EN,Business Intelligence Analyst,142136,US,M
EN,Business Intelligence Analyst,123596,US,M
SE,Data Scientist,223500,US,M
SE,Data Scientist,109100,US,M
EN,Data Analyst,64500,US,M
EN,Data Analyst,46500,US,M
SE,Data Engineer,180500,US,M
SE,Data Engineer,96200,US,M
MI,Data Analyst,86940,US,M
MI,Data Analyst,66000,US,M
MI,Data Analyst,77280,US,M
MI,Data Analyst,58000,US,M
SE,Data Manager,166000,US,M
SE,Data Manager,104000,US,M
EN,Data Analyst,97000,US,M
EN,Data Analyst,62000,US,M
MI,Machine Learning Scientist,176000,US,M
MI,Machine Learning Scientist,72700,US,M
SE,Machine Learning Engineer,296400,US,M
SE,Machine Learning Engineer,159600,US,M
SE,Applied Scientist,158200,US,M
SE,Applied Scientist,79000,US,M
MI,Data Scientist,145000,US,M
MI,Data Scientist,125000,US,M
SE,Machine Learning Engineer,278000,US,M
SE,Machine Learning Engineer,196000,US,M
SE,Data Scientist,218000,US,M
SE,Data Scientist,145000,US,M
SE,Data Analyst,100000,US,M
SE,Data Analyst,86220,US,M
MI,Data Engineer,190000,US,M
MI,Data Engineer,150000,US,M
MI,Business Intelligence,110000,US,M
MI,Business Intelligence,95000,US,M
SE,Data Science,110000,US,M
SE,Data Science,90000,US,M
MI,Data Engineer,140000,US,M
MI,Data Engineer,110000,US,M
SE,Data Engineer,200000,US,M
SE,Data Engineer,147000,US,M
SE,Data Analyst,148000,US,M
SE,Data Analyst,125000,US,M
SE,Data Scientist,150000,US,M
SE,Data Scientist,110000,US,M
EX,Business Intelligence,200000,US,M
EX,Business Intelligence,175000,US,M
SE,Machine Learning Engineer,370000,US,M
SE,Machine Learning Engineer,220000,US,M
MI,Data Analyst,174000,US,M
MI,Data Analyst,132000,US,M
SE,Analytics Engineer,720000,US,M
SE,Analytics Engineer,170000,US,M
SE,Machine Learning Engineer,200000,US,M
SE,Machine Learning Engineer,160000,US,M
SE,Data Scientist,150000,US,M
SE,Data Scientist,111000,US,M
SE,Machine Learning Engineer,302900,US,M
SE,Machine Learning Engineer,302900,US,M
MI,Data Engineer,179500,US,M
MI,Data Engineer,149500,US,M
SE,Data Scientist,190000,US,M
SE,Data Scientist,148000,US,M
SE,Data Modeler,162225,US,M
SE,Data Modeler,139050,US,M
SE,Data Scientist,180000,US,M
SE,Data Scientist,139000,US,M
SE,Machine Learning Engineer,252000,US,M
SE,Machine Learning Engineer,168000,US,M
MI,Data Engineer,85000,US,M
MI,Data Engineer,74880,US,M
SE,Machine Learning Engineer,260000,US,M
SE,Machine Learning Engineer,160000,US,M
MI,Research Engineer,234000,US,M
MI,Research Engineer,176000,US,M
SE,ML Engineer,155000,US,M
SE,ML Engineer,100000,US,M
MI,Data Engineer,184000,US,M
MI,Data Engineer,123000,US,M
MI,Data Scientist,159550,US,M
MI,Data Scientist,113000,US,M
SE,ML Engineer,120000,US,M
SE,ML Engineer,75000,US,M
SE,AI Scientist,166000,US,M
SE,AI Scientist,110781,US,M
SE,Data Scientist,195800,US,M
SE,Data Scientist,161900,US,M
SE,Data Analyst,142166,US,M
SE,Data Analyst,88854,US,M
EN,Business Intelligence Developer,137000,US,M
EN,Business Intelligence Developer,60400,US,M
EX,Head of Data,257500,US,M
EX,Head of Data,190000,US,M
MI,AI Engineer,176000,US,M
MI,AI Engineer,106500,US,M
MI,Business Intelligence,125500,US,M
MI,Business Intelligence,78000,US,M
EN,Business Intelligence Analyst,192500,US,M
EN,Business Intelligence Analyst,140000,US,M
SE,Data Engineer,220000,US,M
SE,Data Engineer,96600,US,M
SE,Data Engineer,195500,US,M
SE,Data Engineer,117300,US,M
SE,Data Engineer,156000,US,M
SE,Data Engineer,124000,US,M
SE,Data Architect,178090,US,M
SE,Data Architect,81978,US,M
SE,Data Engineer,142500,US,M
SE,Data Engineer,90000,US,M
MI,Data Engineer,132600,US,M
MI,Data Engineer,80845,US,M
EX,Data Engineer,250000,US,M
EX,Data Engineer,150000,US,M
MI,Data Management Specialist,79000,US,M
MI,Data Management Specialist,72000,US,M
EN,Data Scientist,187415,US,M
EN,Data Scientist,114080,US,M
EN,Business Intelligence Lead,187415,US,M
EN,Business Intelligence Lead,114080,US,M
SE,Data Engineer,277000,US,M
SE,Data Engineer,173000,US,M
MI,Data Engineer,175000,US,M
MI,Data Engineer,117000,US,M
SE,Data Architect,193000,US,M
SE,Data Architect,84600,US,M
SE,AI Engineer,220000,US,M
SE,AI Engineer,96600,US,M
SE,Data Analyst,170000,US,M
SE,Data Analyst,130000,US,M
MI,Data Scientist,172000,US,M
MI,Data Scientist,75600,US,M
SE,Machine Learning Scientist,201000,US,M
SE,Machine Learning Scientist,125500,US,M
EN,Data Analyst,61700,US,M
EN,Data Analyst,55000,US,M
SE,Business Intelligence Engineer,165600,US,L
SE,Business Intelligence Engineer,65800,US,L
MI,Data Engineer,148000,US,M
MI,Data Engineer,118000,US,M
MI,ML Engineer,252000,US,M
MI,ML Engineer,168000,US,M
SE,Data Engineer,149076,US,M
SE,Data Engineer,82365,US,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,120000,US,M
SE,Data Engineer,160000,US,M
SE,Data Engineer,115000,US,M
MI,Data Engineer,193000,US,M
MI,Data Engineer,128000,US,M
SE,ML Engineer,220000,US,M
SE,ML Engineer,170000,US,M
SE,Machine Learning Engineer,189000,US,M
SE,Machine Learning Engineer,136000,US,M
MI,Business Intelligence Engineer,185000,US,L
MI,Business Intelligence Engineer,79600,US,L
MI,Applied Scientist,210000,US,M
MI,Applied Scientist,160000,US,M
EX,Data Science,200000,US,M
EX,Data Science,160000,US,M
SE,Machine Learning Engineer,150000,US,M
SE,Machine Learning Engineer,90000,US,M
SE,Data Engineer,150000,US,M
SE,Data Engineer,130000,US,M
SE,Machine Learning Engineer,189000,US,M
SE,Machine Learning Engineer,160000,US,M
SE,Data Engineer,255475,US,M
SE,Data Engineer,185800,US,M
SE,Data Engineer,220000,US,M
SE,Data Engineer,170000,US,M
SE,Machine Learning Engineer,220000,US,M
SE,Machine Learning Engineer,170000,US,M
SE,Machine Learning Engineer,260000,US,M
MI,Data Scientist,180000,US,M
MI,Data Scientist,140000,US,M
SE,Business Intelligence Engineer,108500,US,M
SE,Business Intelligence Engineer,78800,US,M
SE,Machine Learning Engineer,252000,US,M
SE,Machine Learning Engineer,181000,US,M
SE,Data Analyst,147500,US,M
SE,Data Analyst,85000,US,M
SE,Data Architect,175000,US,M
SE,Data Architect,117000,US,M
SE,ML Engineer,258750,US,M
SE,ML Engineer,191250,US,M
EN,ML Engineer,177100,US,M
EN,ML Engineer,130900,US,M
SE,Data Engineer,179000,US,M
SE,Data Engineer,112000,US,M
SE,Machine Learning Engineer,206000,US,M
SE,Machine Learning Engineer,97335,US,M
SE,Data Analyst,207300,US,M
SE,Data Analyst,114700,US,M
SE,Business Intelligence Analyst,120000,US,M
SE,Business Intelligence Analyst,100000,US,M
SE,Machine Learning Engineer,306000,US,M
SE,Machine Learning Engineer,151600,US,M
SE,Data Scientist,167500,US,M
SE,Data Scientist,138500,US,M
MI,Data Scientist,194000,US,M
MI,Data Scientist,125500,US,M
SE,Data Engineer,194500,US,M
SE,Data Engineer,147368,US,M
MI,Data Engineer,165000,US,M
MI,Data Engineer,117000,US,M
SE,Data Analyst,170000,US,M
SE,Data Analyst,148000,US,M
SE,Analytics Engineer,500000,US,M
SE,Analytics Engineer,80000,US,M
MI,Data Infrastructure Engineer,241000,US,M
MI,Data Infrastructure Engineer,189000,US,M
SE,Data Scientist,167500,US,M
SE,Data Scientist,138500,US,M
SE,Research Engineer,273000,US,M
SE,Research Engineer,166500,US,M
SE,Data Analyst,106260,US,M
SE,Data Analyst,82000,US,M
MI,Data Scientist,105000,US,M
MI,Data Scientist,90000,US,M
SE,Data Scientist,170000,US,M
SE,Data Scientist,140000,US,M
MI,Data Scientist,170000,US,M
MI,Data Scientist,145000,US,M
SE,Data Engineer,233000,US,M
SE,Data Engineer,140000,US,M
SE,Data Analyst,202800,US,M
SE,Data Analyst,108200,US,M
EX,Head of Data,190000,US,M
EX,Head of Data,150000,US,M
SE,Applied Scientist,212800,US,L
SE,Applied Scientist,115100,US,L
SE,AI Software Engineer,174000,US,M
SE,AI Software Engineer,116000,US,M
MI,Data Engineer,181700,US,M
MI,Data Engineer,64300,US,M
MI,Data Engineer,185000,US,L
MI,Data Engineer,81000,US,L
SE,Encounter Data Management Professional,96200,US,M
SE,Encounter Data Management Professional,69800,US,M
EN,Data Analyst,77280,US,M
EN,Data Analyst,58000,US,M
SE,Research Scientist,178200,US,M
SE,Research Scientist,74800,US,M
EN,Business Intelligence Analyst,164500,US,M
EN,Business Intelligence Analyst,67200,US,M
SE,Data Architect,165000,US,M
SE,Data Architect,117000,US,M
EN,Data Engineer,185000,US,L
EN,Data Engineer,81000,US,L
MI,Data Science,287800,US,M
MI,Data Science,287800,US,M
SE,Data Scientist,150000,US,M
SE,Data Scientist,110000,US,M
MI,Research Engineer,250000,US,M
MI,Research Engineer,200000,US,M
SE,Machine Learning Engineer,200000,US,M
SE,Machine Learning Engineer,160000,US,M
MI,Data Scientist,172000,US,M
MI,Data Scientist,75600,US,M
MI,Applied Scientist,191070,US,M
MI,Applied Scientist,135900,US,M
SE,Research Engineer,282000,US,M
SE,Research Engineer,171000,US,M
SE,Applied Scientist,260000,US,L
SE,Applied Scientist,136000,US,L
MI,Data Engineer,152800,US,M
MI,Data Engineer,149282,US,M
MI,Data Scientist,228000,US,M
MI,Data Scientist,134000,US,M
SE,Applied Scientist,199500,US,M
SE,Applied Scientist,97400,US,M
SE,Data Engineer,155000,US,M
SE,Data Engineer,139500,US,M
MI,Data Engineer,140000,US,M
MI,Data Engineer,100000,US,M
EN,Data Analyst,83300,US,M
EN,Data Analyst,47500,US,M
SE,Data Scientist,208500,US,M
SE,Data Scientist,174000,US,M
SE,Data Engineer,170000,US,M
SE,Data Engineer,130000,US,M
MI,Data Science Manager,240000,US,M
MI,Data Science Manager,180000,US,M
MI,Data Engineer,90000,US,M
MI,Data Engineer,70000,US,M
SE,Business Intelligence Analyst,138000,US,M
SE,Business Intelligence Analyst,110400,US,M
SE,Data Engineer,145000,US,M
SE,Data Engineer,115000,US,M
SE,Data Engineer,185000,US,M
SE,Data Engineer,160000,US,M
MI,Applied Scientist,210000,US,M
MI,Applied Scientist,160000,US,M
EN,Data Science,128750,US,M
EN,Data Science,61875,US,M
EN,Research Analyst,91200,US,M
EN,Research Analyst,58200,US,M
SE,Data Engineer,122000,US,M
SE,Data Engineer,94500,US,M
MI,Data Analyst,152300,US,M
MI,Data Analyst,76200,US,M
SE,Machine Learning Engineer,223000,US,M
SE,Machine Learning Engineer,185000,US,M
MI,Data Engineer,155000,US,M
MI,Data Engineer,120000,US,M
MI,Admin & Data Analyst,95000,US,M
SE,Data Scientist,213000,US,M
SE,Data Scientist,120700,US,M
MI,Data Engineer,128000,US,M
MI,Data Engineer,81500,US,M
EN,Data Science,46000,US,M
EN,Data Science,40000,US,M
SE,Insight Analyst,75000,US,M
SE,Insight Analyst,68750,US,M
EN,Business Intelligence,176627,US,M
EN,Business Intelligence,106029,US,M
SE,Data Architect,193000,US,M
SE,Data Architect,84600,US,M
MI,Data Analyst,148017,US,M
MI,Data Analyst,87069,US,M
SE,Data Engineer,175000,US,M
SE,Data Engineer,117000,US,M
SE,Data Architect,234000,US,M
SE,Data Architect,146000,US,M
MI,Data Analyst,120000,US,M
MI,Data Analyst,105000,US,M
EN,Data Analyst,43500,US,M
EN,Data Analyst,41000,US,M
SE,Data Engineer,234000,US,M
SE,Data Engineer,117000,US,M
SE,ML Engineer,211888,US,M
SE,ML Engineer,154100,US,M
SE,Data Analyst,185100,US,M
SE,Data Analyst,148500,US,M
SE,Analytics Engineer,148500,US,M
SE,Analytics Engineer,117000,US,M
SE,Machine Learning Engineer,370000,US,M
SE,Machine Learning Engineer,220000,US,M
SE,Analytics Engineer,180000,US,M
SE,Analytics Engineer,140000,US,M
SE,Data Engineer,247300,US,M
SE,Data Engineer,139800,US,M
SE,Data Scientist,213000,US,M
SE,Data Scientist,120700,US,M
SE,Data Engineer,135000,US,M
SE,Data Engineer,115000,US,M
SE,Data Engineer,130000,US,M
SE,Data Engineer,100000,US,M
MI,Data Analyst,100000,US,M
MI,Data Analyst,90000,US,M
SE,Data Architect,184000,US,M
SE,Data Architect,123000,US,M
SE,Data Scientist,202500,US,M
SE,Data Scientist,135000,US,M
MI,Data Engineer,159550,US,M
MI,Data Engineer,113000,US,M
EX,Data Engineer,253900,US,M
EX,Data Engineer,145100,US,M
MI,Research Scientist,138000,US,M
MI,Research Scientist,86000,US,M
SE,Research Scientist,179000,US,M
SE,Research Scientist,112000,US,M
EN,Data Analyst,64500,US,M
EN,Data Analyst,46500,US,M
SE,Data Engineer,120750,US,M
SE,Data Engineer,85000,US,M
SE,Data Analyst,144606,US,M
SE,Data Analyst,128539,US,M
MI,BI Developer,79400,US,M
MI,BI Developer,55600,US,M
MI,Data Engineer,131700,US,M
MI,Data Engineer,84000,US,M
SE,Data Science,206000,US,M
SE,Data Science,106605,US,M
MI,Data Analyst,179000,US,M
MI,Data Analyst,112000,US,M
SE,Business Intelligence,120750,US,M
SE,Business Intelligence,85000,US,M
SE,Research Scientist,175000,US,M
SE,Research Scientist,118000,US,M
SE,Data Analyst,194000,US,M
SE,Data Analyst,122000,US,M
SE,Business Intelligence,142250,US,M
SE,Business Intelligence,100000,US,M
MI,Data Scientist,99000,US,M
MI,Data Scientist,87000,US,M
EN,Research Engineer,118400,US,M
EN,Research Engineer,64000,US,M
MI,Machine Learning Engineer,176000,US,M
MI,Machine Learning Engineer,72700,US,M
MI,Data Engineer,145000,US,M
MI,Data Engineer,120000,US,M
EN,Research Analyst,126225,US,M
EN,Research Analyst,61846,US,M
SE,Data Analyst,114200,US,M
SE,Data Analyst,92900,US,M
SE,Data Engineer,219700,US,M
SE,Data Engineer,137300,US,M
SE,Business Intelligence Engineer,108500,US,M
SE,Business Intelligence Engineer,78800,US,M
SE,Data Analyst,95000,US,M
SE,Data Analyst,85000,US,M
MI,Data Analytics Manager,128000,US,M
MI,Data Analytics Manager,81500,US,M
EN,Data Scientist,194500,US,M
EN,Data Scientist,125500,US,M
MI,Data Scientist,187000,US,M
MI,Data Scientist,153000,US,M
SE,Data Architect,146000,US,M
SE,Data Architect,128000,US,M
MI,Data Scientist,130500,US,M
MI,Data Scientist,96000,US,M
MI,Research Engineer,108100,US,M
MI,Research Engineer,60800,US,M
SE,Data Scientist,208000,US,M
SE,Data Scientist,175000,US,M
SE,Research Engineer,485000,US,M
SE,Research Engineer,280000,US,M
SE,Robotics Engineer,240000,US,M
SE,Robotics Engineer,160000,US,M
SE,Data Scientist,239000,US,M
SE,Data Scientist,177000,US,M
MI,Data Scientist,177300,US,M
MI,Data Scientist,136300,US,M
EX,Head of Data,243000,US,M
EX,Head of Data,163000,US,M
MI,Research Scientist,250000,US,M
MI,Research Scientist,190000,US,M
MI,Research Scientist,162000,US,M
MI,Research Scientist,128000,US,M
SE,Data Analyst,140000,US,M
SE,Data Analyst,107000,US,M
MI,Data Analyst,155700,US,M
MI,Data Analyst,75500,US,M
SE,Research Scientist,234000,US,M
SE,Research Scientist,146000,US,M
MI,Data Scientist,172000,US,M
MI,Data Scientist,75600,US,M
SE,Business Intelligence,204000,US,M
SE,Business Intelligence,105800,US,M
SE,Business Intelligence,246000,US,M
SE,Business Intelligence,132600,US,M
SE,Data Analyst,190000,US,M
SE,Data Analyst,152000,US,M
MI,Data Analyst,84105,US,M
MI,Data Analyst,76095,US,M
MI,Data Analytics Manager,203900,US,M
MI,Data Analytics Manager,116600,US,M
SE,Research Engineer,142200,US,M
SE,Research Engineer,116200,US,M
SE,Data Science,175000,US,M
SE,Data Science,100000,US,M
MI,Data Scientist,80000,US,M
MI,Data Scientist,52500,US,M
SE,Data Scientist,213000,US,M
SE,Data Scientist,120700,US,M
SE,Machine Learning Engineer,169200,US,M
SE,Machine Learning Engineer,130100,US,M
SE,Data Architect,227000,US,M
SE,Data Architect,122200,US,M
SE,Machine Learning Engineer,179000,US,M
SE,Machine Learning Engineer,140000,US,M
SE,Data Scientist,247600,US,L
SE,Data Scientist,127300,US,L
SE,Business Intelligence Specialist,120529,US,M
SE,Business Intelligence Specialist,96428,US,M
SE,Data Operations Analyst,168000,US,M
SE,Data Operations Analyst,90900,US,M
SE,Data Scientist,209000,US,M
SE,Data Scientist,171000,US,M
EX,Director of Business Intelligence,200000,US,M
EX,Director of Business Intelligence,175000,US,M
SE,Data Scientist,243000,US,M
SE,Data Scientist,192000,US,M
SE,Data Architect,170000,US,M
SE,Data Architect,25000,US,M
SE,Data Science Manager,314100,US,M
SE,Data Science Manager,169700,US,M
SE,Data Analyst,160000,US,M
SE,Data Analyst,128000,US,M
SE,Data Engineer,178500,US,M
SE,Data Engineer,156312,US,M
MI,Data Engineer,300000,US,M
MI,Data Engineer,130000,US,M
SE,Research Scientist,200000,US,M
SE,Research Scientist,180000,US,M
SE,Machine Learning Engineer,355000,US,M
SE,Machine Learning Engineer,213500,US,M
SE,Data Engineer,185000,US,M
SE,Data Engineer,102600,US,M
MI,Data Engineer,110000,US,M
MI,Data Engineer,90000,US,M
MI,Applied Scientist,212800,US,L
MI,Applied Scientist,115100,US,L
SE,Business Intelligence Engineer,202800,US,L
SE,Business Intelligence Engineer,104300,US,L
EN,Data Analyst,225000,US,M
EN,Data Analyst,150000,US,M
EN,Data Analyst,129000,US,M
EN,Data Analyst,86000,US,M
MI,Data Scientist,172000,US,M
MI,Data Scientist,75600,US,M
MI,Machine Learning Engineer,265400,US,M
MI,Machine Learning Engineer,127400,US,M
SE,Data Architect,363000,US,M
SE,Data Architect,139800,US,M
EN,Data Scientist,175100,US,M
EN,Data Scientist,82915,US,M
MI,Business Intelligence Analyst,192300,US,M
MI,Business Intelligence Analyst,120200,US,M
MI,Data Scientist,155000,US,M
MI,Data Scientist,135000,US,M
SE,Data Engineer,220000,US,M
SE,Data Engineer,137500,US,M
MI,Data Manager,100000,US,M
MI,Data Manager,90000,US,M
MI,Data Scientist,165000,US,M
MI,Data Scientist,110000,US,M
MI,Data Analyst,101081,US,M
MI,Data Analyst,78108,US,M
SE,ML Engineer,285500,US,M
SE,ML Engineer,142500,US,M
SE,Machine Learning Engineer,324000,US,M
SE,Machine Learning Engineer,159000,US,M
MI,Data Specialist,150000,US,M
MI,Data Specialist,130000,US,M
SE,Data Engineer,277000,US,M
SE,Data Engineer,173000,US,M
MI,Data Engineer,137000,US,M
MI,Data Engineer,60300,US,M
SE,Data Product Owner,159120,US,M
SE,Data Product Owner,92240,US,M
MI,Data Scientist,225000,US,M
MI,Data Scientist,200000,US,M
SE,Data Analyst,180500,US,M
SE,Data Analyst,96200,US,M
MI,Machine Learning Engineer,245400,US,M
MI,Machine Learning Engineer,139000,US,M
SE,Data Analytics Lead,176500,US,M
SE,Data Analytics Lead,116600,US,M
SE,Machine Learning Engineer,208500,US,M
SE,Machine Learning Engineer,100100,US,M
MI,Applied Scientist,222200,US,L
MI,Applied Scientist,136000,US,L
SE,Analytics Engineer,153018,US,M
SE,Analytics Engineer,135000,US,M
SE,Research Scientist,303050,US,M
SE,Research Scientist,202350,US,M
SE,Data Scientist,230300,US,M
SE,Data Scientist,114700,US,M
SE,Business Intelligence Analyst,190000,US,M
SE,Business Intelligence Analyst,160000,US,M
SE,Machine Learning Engineer,245400,US,M
SE,Machine Learning Engineer,139000,US,M
SE,Data Analyst,108334,US,M
SE,Data Analyst,59923,US,M
SE,Data Scientist,249000,US,M
SE,Data Scientist,216000,US,M
EX,Data Science,340000,US,M
EX,Data Science,256000,US,M
MI,Machine Learning Engineer,223600,US,L
MI,Machine Learning Engineer,115000,US,L
SE,Research Scientist,250800,US,M
SE,Research Scientist,167200,US,M
MI,Business Intelligence Developer,128000,US,M
MI,Business Intelligence Developer,92000,US,M
SE,Data Architect,189600,US,M
SE,Data Architect,101100,US,M
SE,Machine Learning Engineer,270400,US,M
SE,Machine Learning Engineer,145600,US,M
EN,Data Scientist,137000,US,M
EN,Data Scientist,60400,US,M
MI,Machine Learning Engineer,158100,US,M
MI,Machine Learning Engineer,138500,US,M
SE,Machine Learning Engineer,188500,US,M
SE,Machine Learning Engineer,165100,US,M
SE,Machine Learning Engineer,250000,US,M
SE,Machine Learning Engineer,180000,US,M
SE,Machine Learning Engineer,160000,US,M
SE,Machine Learning Engineer,130000,US,M
SE,Data Architect,242100,US,M
SE,Data Architect,116200,US,M
MI,Analytics Engineer,126000,US,M
